ADDRESS,YEAR BUILT, SALE PRICE 
"16 BAY 25TH STREET, 3B",2018,"738,000"
"16 BAY 25TH STREET, 4C",2018,"456,300"
"8616 21ST AVENUE, 3K",2015,"490,000"
"8616 21ST AVENUE, 6H",2015,0
"18 BAY 17TH STREET, 4A",2015,"753,505"
"69 BAY 20TH STREET, 2B",2009,"500,000"
"69 BAY 20TH STREET, 3C",2009,0
"69 BAY 20TH STREET, 3C",2009,"530,000"
"122 BAY 29TH STREET, 2",2010,0
"122 BAY 29TH STREET, 2",2010,0
"2138 BATH AVENUE, 3B",2007,"685,000"
"18 BAY 17TH STREET, 1B",2015,"336,023"
"69 BAY 20TH STREET, P1",2009,0
"69 BAY 20TH STREET, P1",2009,"530,000"
"122 BAY 29TH STREET, P7",2010,0
"122 BAY 29TH STREET, P7",2010,0
1468 86TH STREET,1928,"1,575,000"
1908-1910 BATH AVENUE,1925,0
1950 BATH AVENUE,1931,0
1962 BATH AVENUE,2009,0
8672 18TH AVENUE,1930,0
1630 BATH AVENUE,1931,"900,000"
8779 21ST AVENUE,2019,"1,920,000"
1635 BATH AVENUE,1981,"1,649,000"
"18 BAY 17TH STREET, P2",2015,"753,505"
"18 BAY 17TH STREET, P3",2015,"753,505"
"70 BAY 20TH STREET, P8",2007,0
"98 BAY 20 ST, P5",2011,10
"8730 BAY 16TH STREET, P10",,"750,000"
"8750 18TH AVENUE, P8",2007,"739,000"
"8707 19TH AVENUE, P12",2018,"940,000"
"122 BAY 26TH STREET, P1",2022,"845,148"
"122 BAY 26TH STREET, P2",2022,"875,921"
"122 BAY 26TH STREET, P3",2022,"782,072"
"122 BAY 26TH STREET, P4",2022,"761,651"
"122 BAY 26TH STREET, P5",2022,"771,093"
"122 BAY 26TH STREET, P6",2022,"782,072"
"122 BAY 26TH STREET, P7",2022,"769,000"
"122 BAY 26TH STREET, P8",2022,"10,140"
"122 BAY 26TH STREET, P9",2022,"806,291"
"210 BAY 7TH STREET, P7",2021,"34,000"
"8799 BAY 16TH STREET, P7",2007,"630,000"
"198 BAY 17TH STREET, P18",2007,"780,000"
864 67TH STREET,1935,0
6636 SEDGWICK PLACE,1925,0
130 67TH STREET,1993,"1,300,000"
146 67 STREET,1993,0
129 SENATOR STREET,1930,0
6715 3RD AVENUE,1925,0
549 68TH STREET,1915,"965,000"
6736 6 AVENUE,1925,"1,200,000"
725 68 STREET,1920,0
6832 BLISS TERRACE,1925,"890,000"
6829 BLISS TERRACE,1925,0
6823 BLISS TERRACE,1925,"965,000"
6810 BAY CLIFF TERRACE,1925,"890,000"
6812 MADELINE COURT,1925,0
6820 MADELINE COURT,1925,0
516 68TH STREET,1905,"1,275,000"
6815 VISTA PLACE,1920,"900,000"
648 68TH STREET,1925,"975,000"
872 BAY RIDGE AVENUE,1940,0
31 MACKAY PLACE,1925,"910,000"
7014 LOUISE TERRACE,1925,0
7016 COLONIAL RD,1925,"975,000"
7039 NARROWS,1935,"1,400,000"
90 MACKAY PLACE,1935,"1,050,000"
79 71ST STREET,1901,0
7018 RIDGE CREST TERRACE,1925,"1,191,888"
7028 RIDGE CREST TERRACE,1925,0
7019 RIDGE CREST TERRACE,1925,0
7017 RIDGE CREST TERRACE,1925,0
166 71 STREET,1925,"900,000"
339 72ND STREET,1925,"998,000"
7109 RIDGE COURT,1925,"985,000"
7108 BENNETT COURT,1925,"1,300,000"
556A OVINGTON AVENUE,1920,"600,000"
877 72ND STREET,1925,"938,000"
225 73RD STREET,1910,0
80 73RD STREET,1901,0
635 74TH STREET,1910,"1,420,000"
68 74TH STREET,1940,"1,625,000"
7408 COLONIAL ROAD,1920,0
637 BAY RIDGE PARKWAY,1925,"1,375,000"
44 BAY RIDGE PARKWAY,1920,"1,100,000"
74 BAY RIDGE PARKWAY,1920,"1,390,000"
343 76TH STREET,1905,0
465 76TH STREET,1925,"1,150,000"
577 76TH STREET,1905,"1,385,000"
621 76TH STREET,1901,"1,349,000"
89 77TH STREET,1920,0
432 76TH STREET,1910,"1,510,000"
7602 6TH AVENUE,1925,0
7608 6 AVENUE,1925,"900,000"
576 76TH STREET,1910,"1,457,500"
541 77TH STREET,1920,"950,000"
7615 6TH AVENUE,1920,0
645 77TH STREET,1920,"1,050,000"
625 77TH STREET,1920,0
7739 SHORE ROAD,1920,0
7709 SHORE ROAD,1920,0
7701 SHORE ROAD,1920,0
65 78TH STREET,1925,"1,400,000"
53 78TH STREET,1925,"1,300,000"
134 78TH STREET,1925,0
150 78TH STREET,1925,"1,750,000"
329 79TH STREET,1925,0
461 79TH STREET,1925,"1,160,000"
453 79TH STREET,1925,"875,000"
530 78TH STREET,1925,"1,200,000"
"7901 4TH AVENUE, D21",1930,"297,000"
32 79TH STREET,1930,"1,165,000"
36 79TH STREET,1930,"1,250,000"
31 80TH STREET,1925,0
8024 NARROWS AVENUE,1920,"1,650,000"
7920 COLONIAL ROAD,1935,0
115 80TH STREET,1930,0
81 80TH STREET,1925,0
71 80TH STREET,1925,"2,700,000"
134 79TH STREET,1925,0
362 79TH STREET,1925,"1,243,500"
7923 6 AVENUE,1925,0
8015 NARROWS AVENUE,1925,"2,200,000"
96 80TH STREET,1950,0
118 80TH STREET,1925,"1,980,000"
117 81ST STREET,1925,"2,580,000"
156 80TH STREET,1920,"1,850,000"
153 81ST STREET,1920,"1,600,000"
343 81ST STREET,1910,0
473 81ST STREET,1920,0
564 80TH STREET,1920,"998,000"
611 81ST STREET,1920,"1,090,000"
111 82ND STREET,1920,0
